Original Filename,Category,Cloudinary Public ID,Cloudinary URL,Resource Type,File Extension,Upload Status,Tags,Folder Structure,Slug,Local Path,Description,Dimensions,Usage
"gold-logo-banner.png","brand","disruptors-media/brand/logos/gold_logo_banner","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/brand/logos/gold_logo_banner.png","image",".png","READY_FOR_UPLOAD","dm3-migration,brand,logos","disruptors-media/brand/logos","gold_logo_banner","/public/assets/images/logos/gold-logo-banner.png","Gold banner version of company logo","1200x300","Website header, banner sections"
"gold-logo.png","brand","disruptors-media/brand/logos/gold_logo","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/brand/logos/gold_logo.png","image",".png","READY_FOR_UPLOAD","dm3-migration,brand,logos","disruptors-media/brand/logos","gold_logo","/public/assets/images/logos/gold-logo.png","Primary gold logo","512x512","General branding, headers"
"logo-emboss.png","brand","disruptors-media/brand/logos/logo_emboss","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/brand/logos/logo_emboss.png","image",".png","READY_FOR_UPLOAD","dm3-migration,brand,logos","disruptors-media/brand/logos","logo_emboss","/public/assets/images/logos/logo-emboss.png","Embossed version of logo","512x512","Special sections, about page"
"logo-menu.png","brand","disruptors-media/brand/logos/logo_menu","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/brand/logos/logo_menu.png","image",".png","READY_FOR_UPLOAD","dm3-migration,brand,logos","disruptors-media/brand/logos","logo_menu","/public/assets/images/logos/logo-menu.png","Logo optimized for menu usage","200x50","Navigation menu, header"
"logo.svg","brand","disruptors-media/brand/logos/logo","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/brand/logos/logo.svg","image",".svg","READY_FOR_UPLOAD","dm3-migration,brand,logos","disruptors-media/brand/logos","logo_svg","/public/assets/images/logos/logo.svg","SVG version of primary logo","Scalable","All sections requiring scalable logo"
"mobile-menu-logo.png","brand","disruptors-media/brand/logos/mobile_menu_logo","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/brand/logos/mobile_menu_logo.png","image",".png","READY_FOR_UPLOAD","dm3-migration,brand,logos","disruptors-media/brand/logos","mobile_menu_logo","/public/assets/images/logos/mobile-menu-logo.png","Mobile-optimized menu logo","150x40","Mobile navigation, responsive header"
"arrow-cta.svg","icons","disruptors-media/ui/icons/arrow_cta","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/arrow_cta.svg","image",".svg","READY_FOR_UPLOAD","dm3-migration,ui,icons","disruptors-media/ui/icons","arrow_cta","/public/assets/images/icons/arrow-cta.svg","Call-to-action arrow icon","24x24","Buttons, CTAs, navigation"
"favicon.png","icons","disruptors-media/ui/icons/favicon","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/favicon.png","image",".png","READY_FOR_UPLOAD","dm3-migration,ui,icons","disruptors-media/ui/icons","favicon","/public/assets/images/icons/favicon.png","Website favicon","32x32","Browser tab, bookmarks"
"fb.svg","icons","disruptors-media/ui/icons/fb","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/fb.svg","image",".svg","READY_FOR_UPLOAD","dm3-migration,ui,icons,social","disruptors-media/ui/icons","fb","/public/assets/images/icons/fb.svg","Facebook social icon","24x24","Social media links, footer"
"insta.svg","icons","disruptors-media/ui/icons/insta","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/insta.svg","image",".svg","READY_FOR_UPLOAD","dm3-migration,ui,icons,social","disruptors-media/ui/icons","insta","/public/assets/images/icons/insta.svg","Instagram social icon","24x24","Social media links, footer"
"minus-icon.png","icons","disruptors-media/ui/icons/minus_icon","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/minus_icon.png","image",".png","READY_FOR_UPLOAD","dm3-migration,ui,icons","disruptors-media/ui/icons","minus_icon","/public/assets/images/icons/minus-icon.png","Minus/collapse icon","16x16","Accordions, collapsible content"
"more-pd.svg","icons","disruptors-media/ui/icons/more_pd","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/more_pd.svg","image",".svg","READY_FOR_UPLOAD","dm3-migration,ui,icons,podcast","disruptors-media/ui/icons","more_pd","/public/assets/images/icons/more-pd.svg","More podcast content icon","24x24","Podcast sections, content expansion"
"mute-icon.png","icons","disruptors-media/ui/icons/mute_icon","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/mute_icon.png","image",".png","READY_FOR_UPLOAD","dm3-migration,ui,icons,media","disruptors-media/ui/icons","mute_icon","/public/assets/images/icons/mute-icon.png","Mute audio icon","24x24","Video/audio controls"
"pause-icon.png","icons","disruptors-media/ui/icons/pause_icon","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/pause_icon.png","image",".png","READY_FOR_UPLOAD","dm3-migration,ui,icons,media","disruptors-media/ui/icons","pause_icon","/public/assets/images/icons/pause-icon.png","Pause media icon","24x24","Video/audio controls"
"play-icon.png","icons","disruptors-media/ui/icons/play_icon","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/play_icon.png","image",".png","READY_FOR_UPLOAD","dm3-migration,ui,icons,media","disruptors-media/ui/icons","play_icon","/public/assets/images/icons/play-icon.png","Play media icon","24x24","Video/audio controls, hero sections"
"plus-icon.png","icons","disruptors-media/ui/icons/plus_icon","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/plus_icon.png","image",".png","READY_FOR_UPLOAD","dm3-migration,ui,icons","disruptors-media/ui/icons","plus_icon","/public/assets/images/icons/plus-icon.png","Plus/expand icon","16x16","Accordions, expandable content"
"prev-arrow.png","icons","disruptors-media/ui/icons/prev_arrow","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/prev_arrow.png","image",".png","READY_FOR_UPLOAD","dm3-migration,ui,icons","disruptors-media/ui/icons","prev_arrow","/public/assets/images/icons/prev-arrow.png","Previous/back arrow icon","24x24","Navigation, carousels, gallery"
"twitter.svg","icons","disruptors-media/ui/icons/twitter","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/twitter.svg","image",".svg","READY_FOR_UPLOAD","dm3-migration,ui,icons,social","disruptors-media/ui/icons","twitter","/public/assets/images/icons/twitter.svg","Twitter/X social icon","24x24","Social media links, footer"
"youtube.svg","icons","disruptors-media/ui/icons/youtube","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/youtube.svg","image",".svg","READY_FOR_UPLOAD","dm3-migration,ui,icons,social","disruptors-media/ui/icons","youtube","/public/assets/images/icons/youtube.svg","YouTube social icon","24x24","Social media links, footer"
"after-phone-sec.png","services","disruptors-media/services/graphics/after_phone_sec","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/after_phone_sec.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics","disruptors-media/services/graphics","after_phone_sec","/public/assets/images/after-phone-sec.png","Post-consultation service graphic","600x400","Services section, consultation flow"
"hand-human.png","services","disruptors-media/services/graphics/hand_human","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/hand_human.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics","disruptors-media/services/graphics","hand_human","/public/assets/images/services/hand-human.png","Human touch service icon","200x200","Services section, human element"
"hand-robot.png","services","disruptors-media/services/graphics/hand_robot","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/hand_robot.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics","disruptors-media/services/graphics","hand_robot","/public/assets/images/services/hand-robot.png","AI/robot service icon","200x200","Services section, AI services"
"hand-srv.png","services","disruptors-media/services/graphics/hand_srv","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/hand_srv.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics","disruptors-media/services/graphics","hand_srv","/public/assets/images/services/hand-srv.png","Service delivery icon","200x200","Services section, general services"
"phone.png","services","disruptors-media/services/graphics/phone","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/phone.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics","disruptors-media/services/graphics","phone","/public/assets/images/phone.png","Phone/contact graphic","300x600","Contact sections, consultation"
"services-img.png","services","disruptors-media/services/graphics/services_img","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/services_img.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics","disruptors-media/services/graphics","services_img","/public/assets/images/services/services-img.png","General services graphic","800x600","Services landing page"
"what-we-do-abt.png","services","disruptors-media/services/graphics/what_we_do_abt","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/what_we_do_abt.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics,about","disruptors-media/services/graphics","what_we_do_abt","/public/assets/images/services/what-we-do-abt.png","What we do - about section","600x400","About page, services overview"
"what-we-do-abt-1.png","services","disruptors-media/services/graphics/what_we_do_abt_1","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/what_we_do_abt_1.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics,about","disruptors-media/services/graphics","what_we_do_abt_1","/public/assets/images/services/what-we-do-abt-1.png","What we do - variant 1","600x400","About page, services overview"
"what-we-do-abt-2.png","services","disruptors-media/services/graphics/what_we_do_abt_2","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/what_we_do_abt_2.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics,about","disruptors-media/services/graphics","what_we_do_abt_2","/public/assets/images/services/what-we-do-abt-2.png","What we do - variant 2","600x400","About page, services overview"
"what-we-do-abt-3.png","services","disruptors-media/services/graphics/what_we_do_abt_3","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/what_we_do_abt_3.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics,about","disruptors-media/services/graphics","what_we_do_abt_3","/public/assets/images/services/what-we-do-abt-3.png","What we do - variant 3","600x400","About page, services overview"
"what-we-do-bx.png","services","disruptors-media/services/graphics/what_we_do_bx","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/what_we_do_bx.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics","disruptors-media/services/graphics","what_we_do_bx","/public/assets/images/services/what-we-do-bx.png","What we do - box layout","400x300","Services sections, grid layout"
"what-we-do-bx-1.png","services","disruptors-media/services/graphics/what_we_do_bx_1","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/what_we_do_bx_1.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics","disruptors-media/services/graphics","what_we_do_bx_1","/public/assets/images/services/what-we-do-bx-1.png","What we do - box variant 1","400x300","Services sections, grid layout"
"what-we-do-bx-2.png","services","disruptors-media/services/graphics/what_we_do_bx_2","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/what_we_do_bx_2.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics","disruptors-media/services/graphics","what_we_do_bx_2","/public/assets/images/services/what-we-do-bx-2.png","What we do - box variant 2","400x300","Services sections, grid layout"
"what-we-do-bx-3.png","services","disruptors-media/services/graphics/what_we_do_bx_3","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/what_we_do_bx_3.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics","disruptors-media/services/graphics","what_we_do_bx_3","/public/assets/images/services/what-we-do-bx-3.png","What we do - box variant 3","400x300","Services sections, grid layout"
"what-we-do-frame.png","services","disruptors-media/services/graphics/what_we_do_frame","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/services/graphics/what_we_do_frame.png","image",".png","READY_FOR_UPLOAD","dm3-migration,services,graphics","disruptors-media/services/graphics","what_we_do_frame","/public/assets/images/services/what-we-do-frame.png","What we do - framed layout","600x400","Services sections, featured content"
"book-a-call-bg.png","backgrounds","disruptors-media/ui/backgrounds/book_a_call_bg","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/backgrounds/book_a_call_bg.png","image",".png","READY_FOR_UPLOAD","dm3-migration,ui,backgrounds,cta","disruptors-media/ui/backgrounds","book_a_call_bg","/public/assets/images/book-a-call-bg.png","Book a call section background","1920x600","CTA sections, consultation booking"
"main-bg.jpg","backgrounds","disruptors-media/ui/backgrounds/main_bg","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/backgrounds/main_bg.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,ui,backgrounds","disruptors-media/ui/backgrounds","main_bg","/public/assets/images/main-bg.jpg","Main website background","1920x1080","Hero sections, full-page backgrounds"
"mobile-sec-bg.jpg","backgrounds","disruptors-media/ui/backgrounds/mobile_sec_bg","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/backgrounds/mobile_sec_bg.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,ui,backgrounds,mobile","disruptors-media/ui/backgrounds","mobile_sec_bg","/public/assets/images/mobile-sec-bg.jpg","Mobile section background","750x1334","Mobile-specific sections"
"poster-abt.jpg","backgrounds","disruptors-media/ui/backgrounds/poster_abt","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/backgrounds/poster_abt.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,ui,backgrounds,about","disruptors-media/ui/backgrounds","poster_abt","/public/assets/images/poster-abt.jpg","About page poster background","1920x800","About page hero, poster sections"
"poster.jpg","backgrounds","disruptors-media/ui/backgrounds/poster","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/backgrounds/poster.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,ui,backgrounds","disruptors-media/ui/backgrounds","poster","/public/assets/images/poster.jpg","General poster background","1920x800","Various poster sections, hero backgrounds"
"pd-new-sm.png","podcast","disruptors-media/content/podcast/pd_new_sm","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/podcast/pd_new_sm.png","image",".png","READY_FOR_UPLOAD","dm3-migration,content,podcast","disruptors-media/content/podcast","pd_new_sm","/public/assets/images/pd-new-sm.png","Podcast thumbnail - small","300x300","Podcast listings, small displays"
"pd-new-sm-1.png","podcast","disruptors-media/content/podcast/pd_new_sm_1","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/podcast/pd_new_sm_1.png","image",".png","READY_FOR_UPLOAD","dm3-migration,content,podcast","disruptors-media/content/podcast","pd_new_sm_1","/public/assets/images/pd-new-sm-1.png","Podcast thumbnail 1 - small","300x300","Podcast listings, episode 1"
"pd-new-sm-2.png","podcast","disruptors-media/content/podcast/pd_new_sm_2","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/podcast/pd_new_sm_2.png","image",".png","READY_FOR_UPLOAD","dm3-migration,content,podcast","disruptors-media/content/podcast","pd_new_sm_2","/public/assets/images/pd-new-sm-2.png","Podcast thumbnail 2 - small","300x300","Podcast listings, episode 2"
"pd-new-sm-3.png","podcast","disruptors-media/content/podcast/pd_new_sm_3","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/podcast/pd_new_sm_3.png","image",".png","READY_FOR_UPLOAD","dm3-migration,content,podcast","disruptors-media/content/podcast","pd_new_sm_3","/public/assets/images/pd-new-sm-3.png","Podcast thumbnail 3 - small","300x300","Podcast listings, episode 3"
"pd-new-sm1.jpg","podcast","disruptors-media/content/podcast/pd_new_sm1","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/podcast/pd_new_sm1.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,content,podcast","disruptors-media/content/podcast","pd_new_sm1","/public/assets/images/pd-new-sm1.jpg","Podcast series 1 - small","300x300","Podcast series display"
"pd-new-sm1-1.jpg","podcast","disruptors-media/content/podcast/pd_new_sm1_1","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/podcast/pd_new_sm1_1.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,content,podcast","disruptors-media/content/podcast","pd_new_sm1_1","/public/assets/images/pd-new-sm1-1.jpg","Podcast series 1 episode 1","300x300","Podcast episode display"
"pd-new-sm1-2.jpg","podcast","disruptors-media/content/podcast/pd_new_sm1_2","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/podcast/pd_new_sm1_2.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,content,podcast","disruptors-media/content/podcast","pd_new_sm1_2","/public/assets/images/pd-new-sm1-2.jpg","Podcast series 1 episode 2","300x300","Podcast episode display"
"pd-new-sm1-3.jpg","podcast","disruptors-media/content/podcast/pd_new_sm1_3","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/podcast/pd_new_sm1_3.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,content,podcast","disruptors-media/content/podcast","pd_new_sm1_3","/public/assets/images/pd-new-sm1-3.jpg","Podcast series 1 episode 3","300x300","Podcast episode display"
"podcast-new-lg.jpg","podcast","disruptors-media/content/podcast/podcast_new_lg","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/podcast/podcast_new_lg.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,content,podcast","disruptors-media/content/podcast","podcast_new_lg","/public/assets/images/podcast-new-lg.jpg","Podcast thumbnail - large","600x600","Podcast featured display, hero sections"
"podcast-new-lg-1.jpg","podcast","disruptors-media/content/podcast/podcast_new_lg_1","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/podcast/podcast_new_lg_1.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,content,podcast","disruptors-media/content/podcast","podcast_new_lg_1","/public/assets/images/podcast-new-lg-1.jpg","Podcast episode 1 - large","600x600","Featured podcast episode"
"1729541402_podcast-2.jpg","podcast","disruptors-media/content/podcast/1729541402_podcast_2","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/podcast/1729541402_podcast_2.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,content,podcast,timestamped","disruptors-media/content/podcast","podcast_1729541402_2","/public/assets/images/1729541402_podcast-2.jpg","Timestamped podcast episode 2","600x600","Specific podcast episode"
"1729541474_podcast-3.jpg","podcast","disruptors-media/content/podcast/1729541474_podcast_3","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/podcast/1729541474_podcast_3.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,content,podcast,timestamped","disruptors-media/content/podcast","podcast_1729541474_3","/public/assets/images/1729541474_podcast-3.jpg","Timestamped podcast episode 3","600x600","Specific podcast episode"
"1730321778_Show Reel DM (16 x 9 in).jpg","podcast","disruptors-media/content/podcast/1730321778_show_reel_dm_16x9","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/podcast/1730321778_show_reel_dm_16x9.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,content,podcast,showreel","disruptors-media/content/podcast","show_reel_dm_16x9","/public/assets/images/1730321778_Show Reel DM (16 x 9 in).jpg","Show reel thumbnail 16:9","1920x1080","Video thumbnails, show reel display"
"1730759549_Thumbnail Avo.jpg","podcast","disruptors-media/content/podcast/1730759549_thumbnail_avo","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/podcast/1730759549_thumbnail_avo.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,content,podcast,thumbnail","disruptors-media/content/podcast","thumbnail_avo","/public/assets/images/1730759549_Thumbnail Avo.jpg","Avo episode thumbnail","600x600","Specific episode thumbnail"
"client-1.png","clients","disruptors-media/clients/assets/client_1","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/clients/assets/client_1.png","image",".png","READY_FOR_UPLOAD","dm3-migration,clients,assets","disruptors-media/clients/assets","client_1","/public/assets/images/client-1.png","Client logo/asset 1","200x100","Client showcase, testimonials"
"client-2.png","clients","disruptors-media/clients/assets/client_2","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/clients/assets/client_2.png","image",".png","READY_FOR_UPLOAD","dm3-migration,clients,assets","disruptors-media/clients/assets","client_2","/public/assets/images/client-2.png","Client logo/asset 2","200x100","Client showcase, testimonials"
"gallery-1.mp4","videos","disruptors-media/videos/gallery_1","https://res.cloudinary.com/dvcvxhzmt/video/upload/f_auto,q_auto/disruptors-media/videos/gallery_1.mp4","video",".mp4","READY_FOR_UPLOAD","dm3-migration,videos,gallery","disruptors-media/videos","gallery_1_video","/public/assets/videos/gallery-1.mp4","Gallery video 1","1920x1080","Portfolio gallery, video showcases"
"gallery-2.mp4","videos","disruptors-media/videos/gallery_2","https://res.cloudinary.com/dvcvxhzmt/video/upload/f_auto,q_auto/disruptors-media/videos/gallery_2.mp4","video",".mp4","READY_FOR_UPLOAD","dm3-migration,videos,gallery","disruptors-media/videos","gallery_2_video","/public/assets/videos/gallery-2.mp4","Gallery video 2","1920x1080","Portfolio gallery, video showcases"
"gallery-bg.mp4","videos","disruptors-media/videos/gallery_bg","https://res.cloudinary.com/dvcvxhzmt/video/upload/f_auto,q_auto/disruptors-media/videos/gallery_bg.mp4","video",".mp4","READY_FOR_UPLOAD","dm3-migration,videos,gallery,background","disruptors-media/videos","gallery_bg_video","/public/assets/videos/gallery-bg.mp4","Gallery background video","1920x1080","Gallery section backgrounds"
"main-banner-video.mp4","videos","disruptors-media/videos/main_banner_video","https://res.cloudinary.com/dvcvxhzmt/video/upload/f_auto,q_auto/disruptors-media/videos/main_banner_video.mp4","video",".mp4","READY_FOR_UPLOAD","dm3-migration,videos,hero,banner","disruptors-media/videos","main_banner_video","/public/assets/videos/main-banner-video.mp4","Main banner/hero video","1920x1080","Homepage hero, main banner sections"
"mobile-video-bg.mp4","videos","disruptors-media/videos/mobile_video_bg","https://res.cloudinary.com/dvcvxhzmt/video/upload/f_auto,q_auto/disruptors-media/videos/mobile_video_bg.mp4","video",".mp4","READY_FOR_UPLOAD","dm3-migration,videos,mobile,background","disruptors-media/videos","mobile_video_bg","/public/assets/videos/mobile-video-bg.mp4","Mobile background video","750x1334","Mobile hero sections, backgrounds"
"img-3.png","gallery","disruptors-media/content/gallery/img_3","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/gallery/img_3.png","image",".png","READY_FOR_UPLOAD","dm3-migration,content,gallery","disruptors-media/content/gallery","img_3","/public/assets/images/img-3.png","Gallery image 3","800x600","Portfolio gallery, image showcase"
"bg-what-we-do.jpg","gallery","disruptors-media/content/gallery/bg_what_we_do","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/gallery/bg_what_we_do.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,content,gallery,services","disruptors-media/content/gallery","bg_what_we_do","/public/assets/images/bg-what-we-do.jpg","What we do background","1920x800","Services section background"
"loader-lft.jpg","gallery","disruptors-media/content/gallery/loader_lft","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/gallery/loader_lft.jpg","image",".jpg","READY_FOR_UPLOAD","dm3-migration,content,gallery,ui","disruptors-media/content/gallery","loader_lft","/public/assets/images/loader-lft.jpg","Loading screen left image","400x400","Loading screens, transition graphics"
"Disrupting.png","gallery","disruptors-media/content/gallery/disrupting","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/content/gallery/disrupting.png","image",".png","READY_FOR_UPLOAD","dm3-migration,content,gallery,branding","disruptors-media/content/gallery","disrupting","/public/assets/images/Disrupting.png","Disrupting brand graphic","600x300","Brand sections, marketing materials"